location_id,name,локация_дубль_система,решение,city,region,country,latitude,longitude,is_active,is_paused,public_url,map_url,updated_at
8DBA0BE0-D692-4B4E-BEB5-03A11C563208,"ул. Леснова, Ногинский центральный городской парк культуры и отдыха, Арочная аллея",five_verst: noginskgorodskoypark / Ногинск Городской парк (0.04 km),,Ногинск,,,55.8491,38.4295,1,1,https://runpark.ru/Places/runbogorodsk,,
B2EA9619-3D91-4D8E-9427-06B515CBC8F5,"Парк Сосновка, cтадион",five_verst: sosnovka / Сосновка (0.02 km),,Санкт-Петербург,,,60.0183,30.3404,1,1,https://runpark.ru/Places/sosnovka,,
3F4F1D00-B268-41E0-9239-0AA4887A3295,Парк Горького,,,Москва,,,55.7303,37.6052,1,1,https://runpark.ru/Places/gorkypark,,
8E727426-D7D4-4286-ACD4-0AA86031BA08,Парк Победы,five_verst: stavropol / Ставрополь парк Победы (0.03 km),,Ставрополь,,,45.0238,41.923,1,1,https://runpark.ru/Places/stavropol,,
220DFA35-2C31-4663-A821-0E6EA86A6A4C,Парк Пестовский (г. Железнодорожный),five_verst: pestovsky / Пестовский (0.04 km),,Железнодорожный,,,55.747,38.0395,1,1,https://runpark.ru/Places/pestovskiypark,,
6166E753-FF20-48C1-9B8C-17F5B84EC1B7,Спасательная станция на Колонистском пруду,five_verst: pushkin / Пушкин (0.03 km),,Санкт-Петербург,,,59.7123,30.4206,1,1,https://runpark.ru/Places/pushkin,,
ED3F9A19-74A8-4F72-AF8A-1C8F378B4A1D,Скульптура Дружба на аллее Алисы Селезневой,five_verst: druzhba / Дружба (0.02 km),,Москва,,,55.8535,37.4861,1,1,https://runpark.ru/Places/druzhba,,
91473DFE-37F0-4F35-8566-22E09DAEEFFF,Пушкинская галерея ,five_verst: zheleznovodsky / Железноводский (0.09 km),,Железноводск,,,44.135,43.0318,1,1,https://runpark.ru/Places/zeleznovodsk,,
329FC7A8-173B-4D6F-9086-23A21249828C,Стадион Спартак,five_verst: serpukhovgorodskoybor / Серпухов Городской бор (0.08 km),,Серпухов ,,,54.9023,37.3774,1,1,https://runpark.ru/Places/serpukhov,,
AFDE794B-5744-427F-90C8-2D0AFE7B2CEC,Парк Заречная у Амфитеатров,five_verst: balashikhazarechnaya / Балашиха Заречная (0.04 km),,Балашиха,,,55.818762,37.963123,1,1,https://runpark.ru/Places/balashikhazarechnaya,,
E976843A-9A49-4C9B-8738-2F4204B5BC1F,Стартовая поляна у реки Серебрянка,,,Пушкино,,,56.0367,37.8397,1,0,https://runpark.ru/Places/PushKino,,
CECAAE26-2460-42FB-B8DF-4335C05D9888,Ротонда в парке ,five_verst: mikhalkovo / Михалково (0.00 km),,Москва,,,55.8432,37.5169,1,0,https://runpark.ru/Places/RUNtonda-Mikhalkovo,,
397A2E1D-DEBA-483F-826D-469E273B56CD,"г. Углич, набережная Волги , лавочка на против военкомата ",,,Углич ,,,57.5361,38.3238,1,1,https://runpark.ru/Places/beguglich,,
F839583D-D559-4E13-89BC-4C656A251BC4,Здание администрации парка,five_verst: orskparkstroiteley / Орск парк Строителей (0.10 km),,Орск,,,51.2265,58.5309,1,1,https://runpark.ru/Places/orskparkstroiteley,,
12051132-8EF4-49D7-A24A-5214845E1F0B,Городской парк,five_verst: vorkutagorodskoypark / Воркута Городской парк (0.01 km),,Воркута,,,67.4954,64.0371,1,1,https://runpark.ru/Places/vorkutagorodskoypark,,
ABE4EFA3-6A23-4C16-B871-59836C8202E4,"Начало аллей, у парковки",five_verst: readovskypark / Реадовский парк (0.01 km),,Смоленск,,,54.7631,32.0264,1,1,https://runpark.ru/Places/readovskypark,,
A625D3CB-38E4-4B14-B2FC-658C27C0AB1F,"Зона старта располагается недалеко от входа в парк со стороны ул. Вучетича, рядом с Лесной опытной дачей (дом 46c1). ",five_verst: timiryazevsky / Тимирязевский (0.07 km),,Москва,,,55.817987,37.556271,1,1,https://runpark.ru/Places/timiryazevsky,,
BC33DFFB-2233-4376-B58D-743EC975861F,"Стадион ""Трудовые резервы """,five_verst: kazancentral / Казань центральный парк (0.03 km),,Казань,,,55.7952,49.1526,1,1,https://runpark.ru/Places/kazancentral,,
9380DD1B-96ED-47C6-AB83-7B2046BC58DF,"парк им. Кулибина, у Шахматного клуба",,,Нижний Новгород,,,56.3147,44.0061,1,0,https://runpark.ru/Places/nn_kulibinrun,,
8E3B6068-981B-454C-8674-7CCC5A39D084,Старт и финиш в одном месте за рестораном “Мидийное место”.,five_verst: ublinskiegory / Старый Оскол (0.09 km),,"Белгородская обасть,  Старый Оскол",,,51.2994,37.8917,1,0,https://runpark.ru/Places/oskol_ublinskie_gory,,
2EA62450-D7BE-449F-B17F-81E51F9A329F,"Городской курорт ""Притяжение""",five_verst: prityazhenie / Притяжение (0.00 km),,Магнитогорск,,,53.374077,58.955555,1,1,https://runpark.ru/Places/magnitprityagenie,,
62D371B5-6A2B-4058-8EC9-886BD975952C,Парк Юбилейный,five_verst: kstovoyubileyniy / Кстово (0.01 km),,"Нижний Новгород, Кстово",,,56.1613,44.2176,1,1,https://runpark.ru/Places/Kstovo5run,,
ACE7B3FD-530A-4DB9-BFBE-89EB107EA07A,ДС Борисоглебский,five_verst: ramenskoegorodskoypark / Раменское Городской парк (0.49 km),,Раменское,,,55.5766,38.2186,1,1,https://runpark.ru/Places/ramenskoegorodskoypark,,
A090081C-1394-4A13-B7AD-8C04BC763961,"Набережная Konyaalty, напротив Kutu Plus",,,"Турция, Анталья",,,36.86354656685968,30.641794984963333,1,0,https://runpark.ru/Places/antalyaeasyrun,,
605CC08C-4FFC-40F5-955B-8EC29A5FA10E,Аллея Героев,five_verst: belgorodparkpobedy / Белгород Парк Победы (0.05 km),,Белгород,,,50.5914,36.5865,1,0,https://runpark.ru/Places/belgorodparkpobedy,,
D005297A-C130-4B84-8E24-90EC53475C98,Смотровая площадка у Феодоровской церкви,five_verst: naberezhnayagrina / Киров Набережная Грина (0.02 km),,Киров,,,58.6121,49.6864,1,1,https://runpark.ru/Places/greenrunkirov,,
70B13304-CCBD-4DE8-8DA9-90F78D50D6EB,Площадка у Монумента Победы (у Коня) ,s95: novgorod / Софийская набережная (Великий Новгород) (0.01 km),,Великий Новгород,,,58.517,31.2744,1,0,https://runpark.ru/Places/velikiynovgorodkremlevsky,,
3421B4FA-C4CD-46E6-8948-92C1AF7D7070,Памятник Джорджу Вашингтону,,,"Аргентина, Буэнос-Айрес",,,-34.5731,-58.4164,1,0,https://runpark.ru/Places/buenosaires,,
7211D904-E4FD-4109-B67E-932BC0BF3364,У фонтана в центре парка культуры и отдыха имени Л.Н. Толстого,five_verst: khimki / Химки (0.00 km),,Химки,,,55.894,37.4585,1,1,https://runpark.ru/Places/khimki,,
BCEFAD62-BD14-4DA7-9739-A50047527763,Парковка Парка Лесоводов со стороны улицы Сагита Агиша,five_verst: parklesovodov / Парк Лесоводов (0.02 km),,Уфа,,,54.7304,56.0111,1,1,https://runpark.ru/Places/parklesovodov,,
413D4AAA-C16B-42CC-97B0-A552449F0A0D,Маршрут проходит в два круга с финишной петлей на центральной аллее парка. Старт и финиш у главного входа в Парк Победы.,five_verst: lipetskparkpobedy / Липецк Парк Победы (0.00 km),,Липецк,,,52.5933,39.5219,1,0,https://runpark.ru/Places/Lipetsk_parkpobeda,,
5AECF8A5-387E-4DA7-AB49-A60DEBF2D8D6,Южный парк,five_verst: yuzhniy / Парк Южный (0.04 km),,"Челябинская область, Магнитогорск",,,53.3534,58.9836,1,1,https://runpark.ru/Places/southparknight,,
15171826-17C2-4C75-9BFF-B04B73BC2CDA,Солнечная батарея в парке Звёзд,five_verst: krylatskoe / Крылатское (0.01 km),,Москва,,,55.7727,37.4089,1,1,https://runpark.ru/Places/krylatskoe,,
9D2F0BF0-D7EE-46B4-B63C-B0B9E845255D,Беседка-купол около катка https://t.me/runclubAngarka,s95: angarskie_prudy / Ангарские пруды (0.10 km),,Москва,,,55.877487,37.5329,1,0,https://runpark.ru/Places/angarskie-prudy,,
D6EA6507-9105-4F27-9882-B3C7AF81772F,"Парк Швейцария, у скейт-парка (Сурикова)",five_verst: shveytsariya / Швейцария (0.49 km),,Нижний Новгород,,,56.2821,43.9785,1,0,https://runpark.ru/Places/swiss5run,,
